Coeff,Num_Gen,Relative_Arriv_Time,Q10,Q90,Median
alpha21,1,0,0.012897448137059897,0.01662433101526293,0.014789568654174546
alpha12,1,0,6.88200203895742e-4,0.0040605147158771,0.002237034375875004
alpha21,1,-6,0.004760351579000593,0.017762108396949285,0.011347091942378039
alpha12,1,-6,2.390537264934409e-4,0.003971761001009557,0.001445023793287305
alpha21,1,-12,0.011690530502035352,0.018533136123570156,0.015135109835897703
alpha12,1,-12,6.540515224365032e-4,0.006555880470924171,0.003092319945160473
alpha12,1,-18,9.667953998966135e-4,0.0072622882873379785,0.0037863259388222804
alpha21,1,-18,0.012561231369321997,0.024662428748582908,0.018582583643460854
alpha12,1,6,0.0016679321045225048,0.008597277935003634,0.0049621466373856345
alpha21,1,6,7.799471956609899e-4,0.00698845366543289,0.0034250505061994996
alpha21,1,12,2.607343906892611e-4,0.003934010079885029,0.0014855303458687174
alpha12,1,12,0.012792361233413032,0.018852187363919547,0.016047632566964867
alpha21,1,18,5.978214528994563e-4,0.006512130790141299,0.00294443415964195
alpha12,1,18,0.017688600440676584,0.02556372829942572,0.021847922345000853
alpha12,2,0,0.007031638674330997,0.010529964463430581,0.008871751012402035
alpha21,2,0,0.015260166233753635,0.019156439726105416,0.0172124496458466
alpha21,2,-6,0.011081747534534397,0.023000747343827774,0.017044296697226416
alpha12,2,-6,0.0010252305596223847,0.009770573181483878,0.004574815547915742
alpha21,2,-12,0.010036074067851574,0.02013377230092032,0.014623091458935134
alpha12,2,-12,2.1829468585264666e-4,0.004458552270989676,0.0014066861037163475
alpha21,2,-18,0.011281257566284453,0.023413049800164357,0.01733971555050976
alpha12,2,-18,2.169086994790016e-4,0.004351817562919954,0.0013712202997302968
alpha21,2,6,0.01085938634694184,0.01753825989320989,0.014250126580943583
alpha12,2,6,0.006281284550174173,0.014516303176760639,0.010502586481546276
alpha21,2,12,0.006185917072330565,0.016082754125975224,0.011233288758700968
alpha12,2,12,0.0108573953432708,0.01949995811588981,0.015268050348324624
alpha21,2,18,0.009962648076852024,0.018770916298292844,0.014440682719949437
alpha12,2,18,0.008497421303282026,0.016499394031558857,0.01246169390458959
alpha21,3,0,0.01647797363413627,0.019367046436739914,0.017924529620737383
alpha12,3,0,0.007522367007498799,0.010488384858184934,0.00906041051198168
alpha12,3,-6,3.4717847902132e-4,0.005333652459053871,0.0020068633534685407
alpha21,3,-6,0.013413437691043665,0.024018780620168323,0.018697974942770042
alpha21,3,-12,0.01315613891179441,0.024389442295893002,0.0187735439114116
alpha12,3,-12,5.015339668769222e-4,0.0059250346367582425,0.002521186588291311
alpha21,3,-18,0.012088181611681067,0.023492867268101597,0.017788939772145927
alpha12,3,-18,2.667863335142984e-4,0.005006062277510148,0.0016549683317175809
alpha21,3,6,0.0047332945157870275,0.012447291127733528,0.008712803770051989
alpha12,3,6,0.011763942279165749,0.01716599374269465,0.014454465644332623
alpha21,3,12,0.00036459259810838553,0.006186500390513342,0.002180153173732523
alpha12,3,12,0.010263823797347499,0.019989160740717975,0.015130347255437462
alpha12,3,18,0.01243975638189934,0.021001910475537205,0.016728551643198458
alpha21,3,18,0.0031886029125346334,0.012025845372676845,0.00757252439834529
