Vial_Name,Num_Gen,Arriv_Time,Start_T,Start_F,Replication,First_Addition,Second_Addition,Check_Date,Adults_T,Adults_F,Relative_Arriv_Time
1-0-30-0-I,1,0,30,0,1,2023-05-21T00:00:00Z,NA,2023-06-26T00:00:00Z,17,0,0
1-0-30-0-III,1,0,30,0,3,2023-05-21T00:00:00Z,NA,2023-06-26T00:00:00Z,14,0,0
1-0-0-30-I,1,0,0,30,1,2023-05-21T00:00:00Z,NA,2023-06-26T00:00:00Z,0,22,0
1-0-10-20-III,1,0,10,20,3,2023-05-21T00:00:00Z,NA,2023-06-26T00:00:00Z,5,12,0
1-0-15-15-I,1,0,15,15,1,2023-05-21T00:00:00Z,NA,2023-06-26T00:00:00Z,11,9,0
1-0-15-15-II,1,0,15,15,2,2023-05-21T00:00:00Z,NA,2023-06-26T00:00:00Z,10,8,0
1-0-30-30-I,1,0,30,30,1,2023-05-21T00:00:00Z,NA,2023-06-26T00:00:00Z,14,14,0
1-0-30-30-III,1,0,30,30,3,2023-05-21T00:00:00Z,NA,2023-06-26T00:00:00Z,20,15,0
1-0-30-0-II,1,0,30,0,2,2023-05-21T00:00:00Z,NA,2023-07-02T00:00:00Z,16,0,0
1-0-0-30-II,1,0,0,30,2,2023-05-21T00:00:00Z,NA,2023-07-02T00:00:00Z,0,22,0
1-0-0-30-III,1,0,0,30,3,2023-05-21T00:00:00Z,NA,2023-07-02T00:00:00Z,0,16,0
1-0-60-0-II,1,0,60,0,2,2023-05-21T00:00:00Z,NA,2023-07-02T00:00:00Z,36,0,0
1-0-60-0-III,1,0,60,0,3,2023-05-21T00:00:00Z,NA,2023-07-02T00:00:00Z,39,0,0
1-0-0-60-I,1,0,0,60,1,2023-05-21T00:00:00Z,NA,2023-07-02T00:00:00Z,0,38,0
1-0-0-60-II,1,0,0,60,2,2023-05-21T00:00:00Z,NA,2023-07-02T00:00:00Z,0,40,0
1-0-0-60-III,1,0,0,60,3,2023-05-21T00:00:00Z,NA,2023-07-02T00:00:00Z,0,36,0
1-0-10-20-I,1,0,10,20,1,2023-05-21T00:00:00Z,NA,2023-07-02T00:00:00Z,7,13,0
1-0-10-20-II,1,0,10,20,2,2023-05-21T00:00:00Z,NA,2023-07-02T00:00:00Z,7,6,0
1-0-15-15-III,1,0,15,15,3,2023-05-21T00:00:00Z,NA,2023-07-02T00:00:00Z,8,5,0
1-0-20-10-I,1,0,20,10,1,2023-05-21T00:00:00Z,NA,2023-07-02T00:00:00Z,11,6,0
1-0-20-10-II,1,0,20,10,2,2023-05-21T00:00:00Z,NA,2023-07-02T00:00:00Z,14,4,0
1-0-20-10-III,1,0,20,10,3,2023-05-21T00:00:00Z,NA,2023-07-02T00:00:00Z,13,6,0
1-0-20-40-I,1,0,20,40,1,2023-05-21T00:00:00Z,NA,2023-07-02T00:00:00Z,12,21,0
1-0-20-40-III,1,0,20,40,3,2023-05-21T00:00:00Z,NA,2023-07-02T00:00:00Z,10,15,0
1-0-30-30-II,1,0,30,30,2,2023-05-21T00:00:00Z,NA,2023-07-02T00:00:00Z,19,7,0
1-0-40-20-I,1,0,40,20,1,2023-05-21T00:00:00Z,NA,2023-07-02T00:00:00Z,23,4,0
1-0-40-20-II,1,0,40,20,2,2023-05-21T00:00:00Z,NA,2023-07-02T00:00:00Z,24,6,0
1-T6-10-20-I,1,T6,10,20,1,2023-05-21T00:00:00Z,2023-05-27T00:00:00Z,2023-07-02T00:00:00Z,4,8,-6
1-T6-10-20-II,1,T6,10,20,2,2023-05-21T00:00:00Z,2023-05-27T00:00:00Z,2023-07-02T00:00:00Z,5,1,-6
1-T6-15-15-I,1,T6,15,15,1,2023-05-21T00:00:00Z,2023-05-27T00:00:00Z,2023-07-02T00:00:00Z,5,10,-6
